int32	string	string	string	lua	int32	string	int32	string	int32	int32	int32	lua	lua	lua	lua	lua	lua	lua	int32	int32	lua	string	int32
16	济贫小能手		在“除虫行动中”祛除厄喙兽-穷{1}次	achtNormal	1	红仙试炼	104		1				10					31016	1				
17	济贫小能手		在“除虫行动中”祛除厄喙兽-穷{1}次	achtNormal	1	红仙试炼	104		2				50					31017	5				
18	济贫小能手		在“除虫行动中”祛除厄喙兽-穷{1}次	achtNormal	1	红仙试炼	104		3				100					31018	10				
19	济贫小能手		在“除虫行动中”祛除厄喙兽-穷{1}次	achtNormal	1	红仙试炼	104		4				150					31019	50				
20	济贫小能手		在“除虫行动中”祛除厄喙兽-穷{1}次	achtNormal	1	红仙试炼	104		5				300					31020	100				
21	除晦小能手		在“除虫行动中”祛除厄喙兽-晦{1}次	achtNormal	1	红仙试炼	105		1				10					31021	1				
22	除晦小能手		在“除虫行动中”祛除厄喙兽-晦{1}次	achtNormal	1	红仙试炼	105		2				50					31022	5				
23	除晦小能手		在“除虫行动中”祛除厄喙兽-晦{1}次	achtNormal	1	红仙试炼	105		3				100					31023	10				
24	除晦小能手		在“除虫行动中”祛除厄喙兽-晦{1}次	achtNormal	1	红仙试炼	105		4				150					31024	50				
25	除晦小能手		在“除虫行动中”祛除厄喙兽-晦{1}次	achtNormal	1	红仙试炼	105		5				300					31025	100				
26	避祸小能手		在“除虫行动中”祛除厄喙兽-祸{1}次	achtNormal	1	红仙试炼	106		1				10					31026	1				
27	避祸小能手		在“除虫行动中”祛除厄喙兽-祸{1}次	achtNormal	1	红仙试炼	106		2				50					31027	5				
28	避祸小能手		在“除虫行动中”祛除厄喙兽-祸{1}次	achtNormal	1	红仙试炼	106		3				100					31028	10				
29	避祸小能手		在“除虫行动中”祛除厄喙兽-祸{1}次	achtNormal	1	红仙试炼	106		4				150					31029	50				
30	避祸小能手		在“除虫行动中”祛除厄喙兽-祸{1}次	achtNormal	1	红仙试炼	106		5				300					31030	100				
31	驱灾小能手		在“除虫行动中”祛除厄喙兽-灾{1}次	achtNormal	1	红仙试炼	107		1				10					31031	1				
32	驱灾小能手		在“除虫行动中”祛除厄喙兽-灾{1}次	achtNormal	1	红仙试炼	107		2				50					31032	5				
33	驱灾小能手		在“除虫行动中”祛除厄喙兽-灾{1}次	achtNormal	1	红仙试炼	107		3				100					31033	10				
34	驱灾小能手		在“除虫行动中”祛除厄喙兽-灾{1}次	achtNormal	1	红仙试炼	107		4				150					31034	50				
35	驱灾小能手		在“除虫行动中”祛除厄喙兽-灾{1}次	achtNormal	1	红仙试炼	107		5				300					31035	100				
36	灭煞小能手		在“除虫行动中”祛除厄喙兽-煞{1}次	achtNormal	1	红仙试炼	108		1				10					31036	1				
37	灭煞小能手		在“除虫行动中”祛除厄喙兽-煞{1}次	achtNormal	1	红仙试炼	108		2				50					31037	5				
38	灭煞小能手		在“除虫行动中”祛除厄喙兽-煞{1}次	achtNormal	1	红仙试炼	108		3				100					31038	10				
39	灭煞小能手		在“除虫行动中”祛除厄喙兽-煞{1}次	achtNormal	1	红仙试炼	108		4				150					31039	50				
40	灭煞小能手		在“除虫行动中”祛除厄喙兽-煞{1}次	achtNormal	1	红仙试炼	108		5				300					31040	100				
41	灭狐高手		在“幕后黑狐”中，击败{1}次黑狐势力	achtNormal	1	红仙试炼	109		1				10					31041	1				
42	灭狐高手		在“幕后黑狐”中，击败{1}次黑狐势力	achtNormal	1	红仙试炼	109		2				50					31042	3				
43	灭狐高手		在“幕后黑狐”中，击败{1}次黑狐势力	achtNormal	1	红仙试炼	109		3				100					31043	15				
44	灭狐高手		在“幕后黑狐”中，击败{1}次黑狐势力	achtNormal	1	红仙试炼	109		4				150					31044	30				
45	灭狐高手		在“幕后黑狐”中，击败{1}次黑狐势力	achtNormal	1	红仙试炼	109		5				300					31045	60				
46	黑狐克星		在“圈外来敌”中，击败黑狐娘娘镜像{1}次	achtNormal	1	红仙试炼	110		1				5					31046	1				
47	黑狐克星		在“圈外来敌”中，击败黑狐娘娘镜像{1}次	achtNormal	1	红仙试炼	110		2				50					31047	5				
48	黑狐克星		在“圈外来敌”中，击败黑狐娘娘镜像{1}次	achtNormal	1	红仙试炼	110		3				150					31048	10				
49	黑狐克星		在“圈外来敌”中，击败黑狐娘娘镜像{1}次	achtNormal	1	红仙试炼	110		4				300					31049	50				
50	黑狐克星		在“圈外来敌”中，击败黑狐娘娘镜像{1}次	achtNormal	1	红仙试炼	110		5				600					31050	100				
51	探宝小二		在“灵猫探宝”中，完成普通探宝{1}次	achtNormal	1	红仙试炼	111		1				15					31051	1				
52	探宝小二		在“灵猫探宝”中，完成普通探宝{1}次	achtNormal	1	红仙试炼	111		2				50					31052	5				
53	探宝小二		在“灵猫探宝”中，完成普通探宝{1}次	achtNormal	1	红仙试炼	111		3				150					31053	10				
54	探宝小二		在“灵猫探宝”中，完成普通探宝{1}次	achtNormal	1	红仙试炼	111		4				500					31054	50				
55	探宝小二		在“灵猫探宝”中，完成普通探宝{1}次	achtNormal	1	红仙试炼	111		5				1000					31055	100				
56	探宝高手		在“灵猫探宝”中，完成高级探宝{1}次	achtNormal	1	红仙试炼	112		1				10					31056	1				
57	探宝高手		在“灵猫探宝”中，完成高级探宝{1}次	achtNormal	1	红仙试炼	112		2				50					31057	5				
58	探宝高手		在“灵猫探宝”中，完成高级探宝{1}次	achtNormal	1	红仙试炼	112		3				150					31058	10				
59	探宝高手		在“灵猫探宝”中，完成高级探宝{1}次	achtNormal	1	红仙试炼	112		4				300					31059	50				
60	探宝高手		在“灵猫探宝”中，完成高级探宝{1}次	achtNormal	1	红仙试炼	112		5				500					31060	100				
61	初探宝境		在灵猫探宝中，进入{1}次遗迹寻找宝物	achtNormal	1	红仙试炼	113		1				10					31061	1				
62	初探宝境		在灵猫探宝中，进入{1}次遗迹寻找宝物	achtNormal	1	红仙试炼	113		2				50					31062	5				
63	初探宝境		在灵猫探宝中，进入{1}次遗迹寻找宝物	achtNormal	1	红仙试炼	113		3				100					31063	10				
64	初探宝境		在灵猫探宝中，进入{1}次遗迹寻找宝物	achtNormal	1	红仙试炼	113		4				500					31064	50				
65	初探宝境		在灵猫探宝中，进入{1}次遗迹寻找宝物	achtNormal	1	红仙试炼	113		5				1000					31065	100				
66	天作之合		在妖盟试炼中战胜45级以上B级伙伴，或在“求婚大作战”中，获得S评价{1}次	achtNormal	1	红仙试炼	114		1				2					31066	5				
67	天作之合		在妖盟试炼中战胜45级以上B级伙伴，或在“求婚大作战”中，获得S评价{1}次	achtNormal	1	红仙试炼	114		2				4					31067	10				
68	天作之合		在妖盟试炼中战胜45级以上B级伙伴，或在“求婚大作战”中，获得S评价{1}次	achtNormal	1	红仙试炼	114		3				6					31068	50				
69	妙手傀儡师		在妖盟试炼中战胜45级以上A级伙伴，或在“大破傀儡阵”中，获得S评价{1}次	achtNormal	1	红仙试炼	115		1				2					31069	5				
70	妙手傀儡师		在妖盟试炼中战胜45级以上A级伙伴，或在“大破傀儡阵”中，获得S评价{1}次	achtNormal	1	红仙试炼	115		2				4					31070	10				
71	妙手傀儡师		在妖盟试炼中战胜45级以上A级伙伴，或在“大破傀儡阵”中，获得S评价{1}次	achtNormal	1	红仙试炼	115		3				6					31071	50				
72	完美·拯救王权府		在妖盟试炼中战胜45级以上S级伙伴，或在“拯救！王权府”（冒险）中获得S评价{1}次	achtNormal	1	红仙试炼	116		1				1					31072	5				
73	完美·拯救王权府		在妖盟试炼中战胜45级以上S级伙伴，或在“拯救！王权府”（冒险）中获得S评价{1}次	achtNormal	1	红仙试炼	116		2				3					31073	10				
74	完美·拯救王权府		在妖盟试炼中战胜45级以上S级伙伴，或在“拯救！王权府”（冒险）中获得S评价{1}次	achtNormal	1	红仙试炼	116		3				5					31074	50				
75	守护王权富贵		"在副本""突围！王权府""中，帮助王权富贵在{1}秒内突出重围"	achtNormal	1	红仙试炼	117		1				200					31075	25				
76	完美·突围王权府		在“突围王权府”中，获得S评价{1}次	achtNormal	1	红仙试炼	118		1				1					31076	5				
77	完美·突围王权府		在“突围王权府”中，获得S评价{1}次	achtNormal	1	红仙试炼	118		2				5					31077	10				
78	完美·突围王权府		在“突围王权府”中，获得S评价{1}次	achtNormal	1	红仙试炼	118		3				10					31078	50				
79	完美·夜捕假火神		在“夜捕假火神”中，获得S评价{1}次	achtNormal	1	红仙试炼	119		1				1					31079	5				
80	完美·夜捕假火神		在“夜捕假火神”中，获得S评价{1}次	achtNormal	1	红仙试炼	119		2				5					31080	10				
81	完美·夜捕假火神		在“夜捕假火神”中，获得S评价{1}次	achtNormal	1	红仙试炼	119		3				10					31081	50				
82	完美·拯救涂山城		在“拯救！涂山城”（冒险）中，获得S评价{1}次	achtNormal	1	红仙试炼	120		1				1					31082	5				
83	完美·拯救涂山城		在“拯救！涂山城”（冒险）中，获得S评价{1}次	achtNormal	1	红仙试炼	120		2				3					31083	10				
84	完美·拯救涂山城		在“拯救！涂山城”（冒险）中，获得S评价{1}次	achtNormal	1	红仙试炼	120		3				5					31084	50				
85	妖盟的神助攻		"在副本""两界大乱斗""中，选择妖怪阵营获得胜利，且评价为S{1}次"	achtNormal	1	红仙试炼	121		1				1					31085	5				
86	妖盟的神助攻		"在副本""两界大乱斗""中，选择妖怪阵营获得胜利，且评价为S{1}次"	achtNormal	1	红仙试炼	121		2				5					31086	10				
87	妖盟的神助攻		"在副本""两界大乱斗""中，选择妖怪阵营获得胜利，且评价为S{1}次"	achtNormal	1	红仙试炼	121		3				10					31087	50				
88	一气道盟的神助攻		"在副本""两界大乱斗""中，选择人类阵营获得胜利，且评价为S{1}次"	achtNormal	1	红仙试炼	122		1				1					31088	5				
89	一气道盟的神助攻		"在副本""两界大乱斗""中，选择人类阵营获得胜利，且评价为S{1}次"	achtNormal	1	红仙试炼	122		2				5					31089	10				
90	一气道盟的神助攻		"在副本""两界大乱斗""中，选择人类阵营获得胜利，且评价为S{1}次"	achtNormal	1	红仙试炼	122		3				10					31090	50				
91	完美·幻影四象镜		在“幻影四象镜”中，获得S评价{1}次	achtNormal	1	红仙试炼	123		1				1					31091	5				
92	完美·幻影四象镜		在“幻影四象镜”中，获得S评价{1}次	achtNormal	1	红仙试炼	123		2				5					31092	10				
93	完美·幻影四象镜		在“幻影四象镜”中，获得S评价{1}次	achtNormal	1	红仙试炼	123		3				10					31093	50				
94	完美·讨伐厄喙兽		在“讨伐！厄喙兽”（冒险）中，获得S评价{1}次	achtNormal	1	红仙试炼	124		1				1					31094	5			65	
95	完美·讨伐厄喙兽		在“讨伐！厄喙兽”（冒险）中，获得S评价{1}次	achtNormal	1	红仙试炼	124		2				3					31095	10			65	
96	完美·讨伐厄喙兽		在“讨伐！厄喙兽”（冒险）中，获得S评价{1}次	achtNormal	1	红仙试炼	124		3				5					31096	50			65	
97	试炼·蛇发火姬		在“妖祸降临”中，击败蛇发火姬{1}次	achtNormal	1	红仙试炼	125		1				1					31097	1				
98	试炼·蛇发火姬		在“妖祸降临”中，击败蛇发火姬{1}次	achtNormal	1	红仙试炼	125		2				5					31098	5				
99	试炼·蛇发火姬		在“妖祸降临”中，击败蛇发火姬{1}次	achtNormal	1	红仙试炼	125		3				10					31099	10				
100	试炼·蛇发火姬		在“妖祸降临”中，击败蛇发火姬{1}次	achtNormal	1	红仙试炼	125		4				50					31100	50				
101	试炼·蛇发火姬		在“妖祸降临”中，击败蛇发火姬{1}次	achtNormal	1	红仙试炼	125		5				100					31101	100				
102	试炼·盗宝妖		在“妖祸降临”中，击败盗宝妖{1}次	achtNormal	1	红仙试炼	126		1				5					31102	1				
103	试炼·盗宝妖		在“妖祸降临”中，击败盗宝妖{1}次	achtNormal	1	红仙试炼	126		2				20					31103	5				
104	试炼·盗宝妖		在“妖祸降临”中，击败盗宝妖{1}次	achtNormal	1	红仙试炼	126		3				50					31104	10				
105	试炼·盗宝妖		在“妖祸降临”中，击败盗宝妖{1}次	achtNormal	1	红仙试炼	126		4				100					31105	50				
106	试炼·盗宝妖		在“妖祸降临”中，击败盗宝妖{1}次	achtNormal	1	红仙试炼	126		5				500					31106	100				
107	闯关·诛邪令		在“诛邪令”中，登上{1}层	achtNormal	1	红仙试炼	127		1									31107	2				
108	闯关·诛邪令		在“诛邪令”中，登上{1}层	achtNormal	1	红仙试炼	127		2									31108	10				
109	闯关·诛邪令		在“诛邪令”中，登上{1}层	achtNormal	1	红仙试炼	127		3									31109	25				
110	闯关·诛邪令		在“诛邪令”中，登上{1}层	achtNormal	1	红仙试炼	127		4									31110	50				
111	万王之王		在“家族首领战”中，获得{1}场胜利	achtNormal	1	红仙试炼	128		1				1					31111	1				
112	万王之王		在“家族首领战”中，获得{1}场胜利	achtNormal	1	红仙试炼	128		2				5					31112	5				
113	万王之王		在“家族首领战”中，获得{1}场胜利	achtNormal	1	红仙试炼	128		3				10					31113	10				
114	万王之王		在“家族首领战”中，获得{1}场胜利	achtNormal	1	红仙试炼	128		4				50					31114	50				
115	万王之王		在“家族首领战”中，获得{1}场胜利	achtNormal	1	红仙试炼	128		5				100					31115	100				
116	家族幸运星		在“家族试炼堂”中，开启大宝箱{1}次	achtNormal	1	红仙试炼	129		1				1					31116	1				
117	家族幸运星		在“家族试炼堂”中，开启大宝箱{1}次	achtNormal	1	红仙试炼	129		2				5					31117	5				
118	家族幸运星		在“家族试炼堂”中，开启大宝箱{1}次	achtNormal	1	红仙试炼	129		3				20					31118	10				
119	家族幸运星		在“家族试炼堂”中，开启大宝箱{1}次	achtNormal	1	红仙试炼	129		4				50					31119	50				
120	家族幸运星		在“家族试炼堂”中，开启大宝箱{1}次	achtNormal	1	红仙试炼	129		5				100					31120	100				
121	强中自有强中手		在一气降魔中，获得S级评价{1}次	achtNormal	1	红仙试炼	130		1				1					31121	1				
122	强中自有强中手		在一气降魔中，获得S级评价{1}次	achtNormal	1	红仙试炼	130		2				5					31122	5				
123	强中自有强中手		在一气降魔中，获得S级评价{1}次	achtNormal	1	红仙试炼	130		3				10					31123	10				
124	强中自有强中手		在一气降魔中，获得S级评价{1}次	achtNormal	1	红仙试炼	130		4				50					31124	50				
125	强中自有强中手		在一气降魔中，获得S级评价{1}次	achtNormal	1	红仙试炼	130		5				100					31125	100				
126	成为神捕		"在副本""谁才是真凶""中，协助律笺文成功找到{1}个罪犯"	achtNormal	1	红仙试炼	131		1				10					31126	1				
127	成为神捕		"在副本""谁才是真凶""中，协助律笺文成功找到{1}个罪犯"	achtNormal	1	红仙试炼	131		2				50					31127	5				
128	成为神捕		"在副本""谁才是真凶""中，协助律笺文成功找到{1}个罪犯"	achtNormal	1	红仙试炼	131		3				100					31128	10				
129	成为神捕		"在副本""谁才是真凶""中，协助律笺文成功找到{1}个罪犯"	achtNormal	1	红仙试炼	131		4				500					31129	50				
130	成为神捕		"在副本""谁才是真凶""中，协助律笺文成功找到{1}个罪犯"	achtNormal	1	红仙试炼	131		5				1000					31130	100				
131	罪犯的噩梦		"在副本""谁才是真凶""中，协助律笺文成功压制{1}起拘捕"	achtNormal	1	红仙试炼	132		1				5					31131	1				
132	罪犯的噩梦		"在副本""谁才是真凶""中，协助律笺文成功压制{1}起拘捕"	achtNormal	1	红仙试炼	132		2				20					31132	5				
133	罪犯的噩梦		"在副本""谁才是真凶""中，协助律笺文成功压制{1}起拘捕"	achtNormal	1	红仙试炼	132		3				50					31133	10				
134	罪犯的噩梦		"在副本""谁才是真凶""中，协助律笺文成功压制{1}起拘捕"	achtNormal	1	红仙试炼	132		4				100					31134	50				
135	罪犯的噩梦		"在副本""谁才是真凶""中，协助律笺文成功压制{1}起拘捕"	achtNormal	1	红仙试炼	132		5				500					31135	100				
136	洗冤达人		解锁洗冤达人真相，帮助律笺文成功找到真凶，替王富贵洗脱了冤屈。	achtNormal	1	红仙试炼	133		1				1					31136	25				
137	明察神捕		在洗冤达人中，察觉到了涂山美美不为人知的阴谋。	achtNormal	1	红仙试炼	134		1				1					31137	10				
138	火眼神捕		在洗冤达人中，察觉到了欢都落兰不为人知的阴谋。	achtNormal	1	红仙试炼	135		1				1					31138	10				
139	见过魔君大人		在洗冤达人中，与拦路的百妖魔君一战。	achtNormal	1	红仙试炼	136		1				1					31139	10				
140	降服百妖魔君		在洗冤达人中，痛殴了拦路的百妖魔君一顿。	achtNormal	1	红仙试炼	137		1				1					31140	10				
141	金睛神捕		在洗冤达人中，察觉到了黑狐娘娘不为人知的阴谋。	achtNormal	1	红仙试炼	138		1				1					31141	10				
142	一吻定情		在洗冤达人中，撞破了王富贵和颜如玉不可说的过去……	achtNormal	1	红仙试炼	139		1				1					31142	10				
143	欢喜冤家		在洗冤达人中，意外看穿了王富贵和白月初的关系。	achtNormal	1	红仙试炼	140		1				1					31143	10				
144	王大少的怒火		在洗冤达人中，触发了王富贵的怒火。	achtNormal	1	红仙试炼	141		1				1					31144	10				
145	神奇脑回路		在洗冤达人中，思维过于发散。	achtNormal	1	红仙试炼	142		1				1					31145	10				
146	捉弄颜如玉		在洗冤达人中，捉弄了颜如玉一把。	achtNormal	1	红仙试炼	143		1				1					31146	10				
147	误导律笺文		在洗冤达人中，成功误导了律笺文的思绪。	achtNormal	1	红仙试炼	144		1				1					31147	10				
148	观火神捕		在洗冤达人中，察觉到了王富贵不为人知的手段。	achtNormal	1	红仙试炼	145		1				1					31148	10				
149	不走寻常路		在洗冤达人中，思维别具一格。	achtNormal	1	红仙试炼	146		1				1					31149	10				
150	混乱小迷糊		在洗冤达人中，以混乱的脑回路制造更大的混乱。	achtNormal	1	红仙试炼	147		1				1					31150	10				
151	不称职的帮手		掉进洗冤达人中律笺文的陷阱，与愤怒的红中交手。	achtNormal	1	红仙试炼	148		1				1					31151	10				
152	闯关·拯救人质		在“拯救人质”中，成功通关{1}次	achtNormal	1	红仙试炼	149		1				1					31152	1				
153	闯关·拯救人质		在“拯救人质”中，成功通关{1}次	achtNormal	1	红仙试炼	149		2				5					31153	5				
154	闯关·拯救人质		在“拯救人质”中，成功通关{1}次	achtNormal	1	红仙试炼	149		3				10					31154	10				
155	闯关·拯救人质		在“拯救人质”中，成功通关{1}次	achtNormal	1	红仙试炼	149		4				50					31155	50				
156	闯关·拯救人质		在“拯救人质”中，成功通关{1}次	achtNormal	1	红仙试炼	149		5				100					31156	100				
157	人质拯救者		在“拯救人质”中，与人质成功互动{1}次	achtNormal	1	红仙试炼	150		1				33000	33011	33015	33016		31157	1				
158	人质拯救者		在“拯救人质”中，与人质成功互动{1}次	achtNormal	1	红仙试炼	150		2				33000	33011	33015	33016		31158	5				
162	时运不济		召唤{1}次没有获得过S级伙伴	achtNormal	1	红仙试炼	151		1				50					31159	10				
163	时运不济		召唤{1}次没有获得过S级伙伴	achtNormal	1	红仙试炼	151		2				100					31160	20				
164	时运不济		召唤{1}次没有获得过S级伙伴	achtNormal	1	红仙试炼	151		3				200					31161	40				
165	时运不济		召唤{1}次没有获得过S级伙伴	achtNormal	1	红仙试炼	151		4				500					31162	100				
166	时运不济		召唤{1}次没有获得过S级伙伴	achtNormal	1	红仙试炼	151		5				1000					31163	200				
167	闯关·登天门		在“登天门”中，通关{1}层	achtNormal	2	红仙之路	201		1				10					31164	2				
168	闯关·登天门		在“登天门”中，通关{1}层	achtNormal	2	红仙之路	201		2				20					31165	5				
169	闯关·登天门		在“登天门”中，通关{1}层	achtNormal	2	红仙之路	201		3				50					31166	10				
170	闯关·登天门		在“登天门”中，通关{1}层	achtNormal	2	红仙之路	201		4				80					31167	20				
171	闯关·登天门		在“登天门”中，通关{1}层	achtNormal	2	红仙之路	201		5				100					31168	50				
172	闯关·混天典狱		在“混天典狱”中，通关{1}层	achtNormal	2	红仙之路	202		1									31169	1				
173	闯关·混天典狱		在“混天典狱”中，通关{1}层	achtNormal	2	红仙之路	202		2									31170	5				
174	闯关·混天典狱		在“混天典狱”中，通关{1}层	achtNormal	2	红仙之路	202		3									31171	10				
175	闯关·混天典狱		在“混天典狱”中，通关{1}层	achtNormal	2	红仙之路	202		4									31172	50				
176	闯关·混天典狱		在“混天典狱”中，通关{1}层	achtNormal	2	红仙之路	202		5									31173	100				
177	成为预备红线仙		"主线章节“御水珠篇·贰""完成度100%"	achtNormal	2	红仙之路	203		1									31174	10				
178	成为正式红线仙		"主线章节“王权篇·贰""完成度98%"	achtNormal	2	红仙之路	203		2									31175	10				
179	成为铜牌红线仙		"主线章节“北山篇·贰""完成度97%"	achtNormal	2	红仙之路	203		3									31176	10				
225	成为银牌红线仙		"主线章节“千颜篇·贰""完成度98%"	achtNormal	2	红仙之路	203		4									31542	10				
230	成为金牌红线仙		"主线章节“南国篇·肆""完成度100%"	achtNormal	2	红仙之路	203		5									31543	10				
180	小叮当		背包格子达到{1}个	achtNormal	2	红仙之路	204		1									31177	5				
181	小叮当		背包格子达到{1}个	achtNormal	2	红仙之路	204		2									31178	10				
182	小叮当		背包格子达到{1}个	achtNormal	2	红仙之路	204		3									31179	25				
183	小叮当		背包格子达到{1}个	achtNormal	2	红仙之路	204		4									31180	30				
184	小叮当		背包格子达到{1}个	achtNormal	2	红仙之路	204		5									31181	50				
185	战旗飞扬		拥有{1}个战旗令	achtNormal	2	红仙之路	205		1									31182	2				
186	战旗飞扬		拥有{1}个战旗令	achtNormal	2	红仙之路	205		2									31183	10				
187	战旗飞扬		拥有{1}个战旗令	achtNormal	2	红仙之路	205		3									31184	25				
188	战旗飞扬		拥有{1}个战旗令	achtNormal	2	红仙之路	205		4									31185	50				
189	铁血战旗		拥有{1}个2级战旗令	achtNormal	2	红仙之路	206		1				2					31186	2				
190	铁血战旗		拥有{1}个3级战旗令	achtNormal	2	红仙之路	206		2				3					31187	10				
191	铁血战旗		拥有{1}个4级战旗令	achtNormal	2	红仙之路	206		3				4					31188	25				
192	铁血战旗		拥有{1}个5级战旗令	achtNormal	2	红仙之路	206		4				5					31189	50				
193	灵器		器灵等级达到{1}级	achtNormal	2	红仙之路	207		1									31190	1				
194	灵器		器灵等级达到{1}级	achtNormal	2	红仙之路	207		2									31191	5				
195	灵器		器灵等级达到{1}级	achtNormal	2	红仙之路	207		3									31192	10				
196	灵器		器灵等级达到{1}级	achtNormal	2	红仙之路	207		4									31193	25				
197	灵器		器灵等级达到{1}级	achtNormal	2	红仙之路	207		5									31194	50				
198	奋发图强·术法		当前镶嵌{1}张术法卡	achtNormal	2	红仙之路	208		1				3					31195	1				
199	奋发图强·术法		当前镶嵌{1}张术法卡	achtNormal	2	红仙之路	208		2				3					31196	5				
200	奋发图强·术法		当前镶嵌{1}张术法卡	achtNormal	2	红仙之路	208		3				3					31197	10				
201	奋发图强·术法		当前镶嵌{1}张术法卡	achtNormal	2	红仙之路	208		4				3					31198	25				
202	奋发图强·术法		当前镶嵌{1}张术法卡	achtNormal	2	红仙之路	208		5				3					31199	50				
203	强者无畏·术法		镶嵌{1}张的A级术法	achtNormal	2	红仙之路	209		1				4	1	1			31200	1				
204	强者无畏·术法		镶嵌{1}张的A级术法	achtNormal	2	红仙之路	209		2				4	1	1			31201	5				
205	强者无畏·术法		镶嵌{1}张的A级术法	achtNormal	2	红仙之路	209		3				4	1	1			31202	10				
206	强者无畏·术法		镶嵌{1}张的A级术法	achtNormal	2	红仙之路	209		4				4	1	1			31203	50				
207	强者无畏·术法		镶嵌{1}张的A级术法	achtNormal	2	红仙之路	209		5				4	1	1			31204	100				
208	高手环绕·术法		镶嵌{1}张的S级术法	achtNormal	2	红仙之路	210		1				5	1	1			31205	5				
209	高手环绕·术法		镶嵌{1}张的S级术法	achtNormal	2	红仙之路	210		2				5	1	1			31206	15				
210	高手环绕·术法		镶嵌{1}张的S级术法	achtNormal	2	红仙之路	210		3				5	1	1			31207	50				
211	高手环绕·术法		镶嵌{1}张的S级术法	achtNormal	2	红仙之路	210		4				5	1	1			31208	100				
212	高手环绕·术法		镶嵌{1}张的S级术法	achtNormal	2	红仙之路	210		5				5	1	1			31209	200				
213	群星·术法		拥有一张2星术法卡	achtNormal	2	红仙之路	211		1				3	2	1			31210	1				
214	群星·术法		拥有一张3星术法卡	achtNormal	2	红仙之路	211		2				3	3	1			31211	5				
215	群星·术法		拥有一张4星术法卡	achtNormal	2	红仙之路	211		3				3	4	1			31212	10				
216	群星·术法		拥有一张5星术法卡	achtNormal	2	红仙之路	211		4				3	5	1			31213	50				
218	强者无畏·天赋		镶嵌一张A级天赋卡	achtNormal	2	红仙之路	212		1				4	1	1			31215	10				
219	高手环绕·天赋		镶嵌一张S级天赋卡	achtNormal	2	红仙之路	213		1				5	1	1			31216	20				
220	群星·天赋		拥有一张2星天赋卡	achtNormal	2	红仙之路	214		1				3	2	1			31217	1				
221	群星·天赋		拥有一张3星天赋卡	achtNormal	2	红仙之路	214		2				3	3	1			31218	5				
222	群星·天赋		拥有一张4星天赋卡	achtNormal	2	红仙之路	214		3				3	4	1			31219	10				
223	群星·天赋		拥有一张5星天赋卡	achtNormal	2	红仙之路	214		4				3	5	1			31220	50				
226	大厨		烹饪技能达到{1}级	achtNormal	2	红仙之路	215		1				30					31223	5				
227	大厨		烹饪技能达到{1}级	achtNormal	2	红仙之路	215		2				40					31224	10				
228	大厨		烹饪技能达到{1}级	achtNormal	2	红仙之路	215		3				50					31225	50				
229	大厨		烹饪技能达到{1}级	achtNormal	2	红仙之路	215		4				60					31226	100				
